symbol	abundance	protein_size
3087	RPA12	232	125
3088	GLE1	25.4	538
3089	SHP1	105	423
3090	RSF1	12.2	376
3091	YOR385W	5.48	290
3092	VPS8	7.02	1274
3093	YNL337W	1.37	84
3094	RPT3	45	428
3095	MTL1	1.86	551
3096	PMA1	10216	918
3097	GEA2	83.4	1459
3098	YKL100W-A	0.254	29
3099	CSR1	149	408
3100	MRF1	9.55	413
3101	YHR213W-A	0.191	77
3102	SEC1	13.7	724
3103	MRS2	7.01	470
3104	RRD2	21.2	358
3105	YPR064W	1.62	139
3106	RRT1	1.36	103
3107	YPT6	119	215
3108	HEM1	237	548
3109	KRE9	12.1	276
3110	CAB2	80.4	365
3111	SEC7	254	2009
3112	UBP6	176	499
3113	IRC15	48.1	499
3114	PFA5	1.26	374
3115	YDC1	3.37	317
3116	MTR2	48.1	184
3117	MRX7	1.82	86
3118	ISD11	81.4	94
3119	YGL140C	17.3	1219
3120	RAD26	1.96	1085
3121	TDH1	2250	332
3122	ALB1	76.1	175
3123	RAD34	0.954	692
3124	YLL054C	4.26	843
3125	PAU22	1.67	164
3126	SAG1	0.259	650
3127	SNO3	3	222
3128	GPA2	59.3	449
3129	WRS1	299	432
3130	OCA4	45.5	362
3131	SYF1	17.3	859
3132	CIN10	1.41	555
3133	LTV1	39.1	463
3134	RAD28	3.16	506
3135	PRM8	15.1	237
3136	YLR297W	8.13	129
3137	MRPL39	30.4	70
3138	RNA1	615	407
3139	DAN1	0.106	298
3140	PAH1	41.9	862
3141	YFL068W	1.16	160
3142	YPL257W	1.41	193
3143	GDH2	186	1092
3144	AVT3	8.93	692
3145	SEM1	120	89
3146	RPC34	14.6	317
3147	KTR7	24.9	517
3148	YJR120W	1.61	116
3149	SEC11	45.5	167
3150	YKL053W	1.65	124
3151	TYR1	55.4	452
3152	DOM34	84.5	386
3153	SEI1	8.17	285
3154	TSC11	2.14	1430
3155	LCL3	7.03	274
3156	HOT1	2.14	719
3157	SKS1	31.3	502
3158	HTA2	737	132
3159	LCB3	3.42	409
3160	MCM1	79.9	286
3161	MRD1	54.8	887
3162	HAP5	12.5	242
3163	YPR015C	1.35	247
3164	RMT2	50.2	412
3165	YUH1	7.03	236
3166	LMO1	7.99	665
3167	OMS1	12.8	471
3168	DSL1	84.9	754
3169	MAM33	119	266
3170	PES4	6.73	611
3171	YHC3	2.04	408
3172	YPR158C-D	4.88	1755
3173	YOL163W	1.42	169
3174	AI3	1.09	415
3175	RXT2	22.7	430
3176	YGK3	2.15	375
3177	PSD2	2.21	1138
3178	YOL019W	11	551
3179	BIT2	1.66	545
3180	YLL066C	1.52	1205
3181	YAP6	10.6	383
3182	ERV14	128	138
3183	RRP5	315	1729
3184	TMT1	23.7	299
3185	YME2	59.1	850
3186	YDR355C	1.42	100
3187	STE24	220	453
3188	MBB1	1.55	108
3189	GTB1	74	702
3190	YFL065C	1.68	102
3191	YIL001W	2.32	513
3192	TMN2	2.27	672
3193	ELM1	9.29	640
3194	GSP1	318	219
3195	ARB1	539	610
3196	OKP1	22.1	406
3197	CIN4	7.96	191
3198	YMR244W	1.54	355
3199	YJL135W	1.36	105
3200	YNL195C	2.55	261
3201	NPL3	985	414
3202	LEE1	1.59	301
3203	YLR339C	0.209	183
3204	AAC1	3.92	309
3205	CUB1	194	551
3206	CST9	1.39	482
3207	RGR1	10.3	1082
3208	CDC1	26.8	491
3209	TOS3	0.343	560
3210	YGR153W	1.59	217
3211	YBR184W	2.03	523
3212	YPL283W-B	0.006	160
3213	MRH1	1584	320
3214	VPS75	33.7	264
3215	PDC2	9.23	925
3216	USO1	82.6	1790
3217	YCL021W-A	1.76	125
3218	MIX17	143	156
3219	ATG33	180	197
3220	BUD8	1.94	603
3221	PUF6	238	656
3222	RSA1	8.87	381
3223	YDL121C	70.9	149
3224	SPC97	22.6	823
3225	WWM1	58.2	211
3226	RET3	80.5	189
3227	COX6	309	148
3228	YGL165C	1.57	192
3229	CTR3	1.57	241
3230	MGM1	29.5	881
3231	COS10	17.7	374
3232	MDN1	114	4910
3233	VPS61	1.53	190
3234	SPO23	2.47	523
3235	YCR099C	1.43	155
3236	IFM1	37.1	676
3237	SXM1	217	944
3238	SPL2	37.4	148
3239	FAP7	107	197
3240	DRE2	149	348
3241	SSP1	1.89	571
3242	UTP10	367	1769
3243	SOL4	59.8	255
3244	PGA2	51.7	129
3245	ZTA1	52.8	334
3246	MDM1	7.3	1127
3247	ATP10	18.5	279
3248	YHB1	3315	399
3249	NOP16	81	231
3250	TDA11	5.37	504
3251	YLR252W	1.26	101
3252	YKL118W	0.077	103
3253	YJR071W	2.22	122
3254	PIL1	1081	339
3255	PAU6	1.41	120
3256	CDC23	3.48	626
3257	YJR028W	16.2	440
3258	RMD8	17.2	662
3259	YDR210W-B	5.33	1770
3260	DIA3	1.4	468
3261	ODC1	62.8	310
3262	PSF2	1.6	213
3263	BI4	0.009	638
3264	THI3	21.1	609
3265	IST2	94.8	946
3266	YNL150W	0.03	135
3267	STP3	13.6	343
3268	NST1	21.7	1240
3269	BUD32	32.5	261
3270	SHE3	47.1	425
3271	REB1	128	810
3272	YIR030W-A	0.054	127
3273	BUD2	21.6	1104
3274	YNL339W-A	0.508	191
3275	MZM1	4.67	123
3276	SEC16	55	2195
3277	YJR162C	1.42	116
3278	YLR177W	16.7	628
3279	SOL1	46.1	321
3280	MHF1	0.412	90
3281	KTR2	1.25	425
3282	YPL250W-A	0.133	95
3283	ASI2	4.93	289
3284	HST2	58.6	357
3285	UIP5	4.47	443
3286	SCO2	21.6	301
3287	YDL221W	5.55	183
3288	TGL1	17	548
3289	LDB19	11.1	818
3290	SSE2	158	693
3291	SGN1	67.3	250
3292	HHT1	1508	136
3293	RSM27	30.7	110
3294	YGL039W	32	348
3295	BEM2	42.6	2167
3296	YGL185C	11.7	379
3297	KIN4	13.1	800
3298	RPS13	345	151
3299	RIO2	103	425
3300	YDR199W	1.13	121
3301	JJJ3	21.1	172
3302	UBX2	99.5	584
3303	YAL045C	1.05	102
3304	TAF1	19.9	1066
3305	PRY2	3.02	329
3306	UTP23	105	254
3307	SQT1	237	431
3308	SES1	1045	462
3309	VPS17	81.2	551
3310	ICP55	44.8	511
3311	YEL030C-A	0.055	104
3312	FAT3	3.05	750
3313	RPS27B	433	82
3314	YER152W-A	0.364	188
3315	ALR1	8.02	859
3316	COB	0.024	385
3317	LCP5	27.7	357
3318	YFL021C-A	0.3	284
3319	YDL068W	1.49	109
3320	BDS1	0.112	646
3321	MYO3	39.9	1272
3322	HRR25	107	494
3323	YDR194W-A	0.244	50
3324	IST3	8.87	148
3325	YBR287W	55.9	427
3326	YRF1-7	1.34	1859
3327	NPT1	375	429
3328	KEG1	0.099	200
3329	SMD1	36	146
3330	ENA2	11.7	1091
3331	PKP1	35.5	394
3332	YCR101C	1.4	182
3333	MEC3	4.23	474
3334	LSO2	23.2	92
3335	YAH1	137	172
3336	MED7	55.4	222
3337	YNL108C	46.6	270
3338	YGL108C	27.6	140
3339	TFC7	28.1	435
3340	YKE2	37.3	114
3341	ROK1	20	564
3342	YKR018C	91.9	725
3343	PMP1	1268	40
3344	KEL1	43.9	1164
3345	NSG1	59.4	291
3346	YLR157C-B	11.3	1755
3347	YKL063C	46	167
3348	YLL059C	1.57	168
3349	SAM2	636	384
3350	TPA1	137	644
3351	RTG1	42.4	177
3352	BLM10	29	2143
3353	NOP12	200	459
3354	POL32	20.4	350
3355	SKI6	57.8	246
3356	DAL4	1.5	635
3357	FKH1	14.2	484
3358	HSH155	7.5	971
3359	SUE1	1.89	206
3360	ERG1	696	496
3361	DGK1	14.6	290
3362	MTC3	10.1	123
3363	PKP2	8.82	491
3364	YDR354C-A	0.221	47
3365	RPB10	128	70
3366	YLR161W	0.184	114
3367	RPI1	12.1	407
3368	YJR039W	1.65	1121
3369	YEA4	1.7	342
3370	TAF9	71.9	157
3371	YGR293C	1.38	153
3372	YGR151C	4.95	111
3373	YPL035C	1.25	115
3374	YPR203W	1.45	102
3375	BAR1	23.4	587
3376	FIG4	6.34	879
3377	RRD1	44.4	393
3378	YDL009C	1.36	107
3379	MET1	10.2	593
3380	YLH47	146	454
3381	MCM2	33.1	868
3382	YDR132C	4.32	495
3383	RTT101	2.75	842
3384	NRP1	42.8	719
3385	TYW1	92.1	810
3386	RIE1	48.1	781
3387	TRP3	334	484
3388	TCA17	72.1	152
3389	GTO3	2.54	366
3390	VPS33	15.5	691
3391	NIF3	90.5	288
3392	OCT1	28.4	772
3393	CDC53	199	815
3394	TNA1	48.8	534
3395	ZEO1	844	113
3396	IKS1	8	667
3397	YBR219C	1.29	127
3398	YDR543C	1.28	99
3399	YPR127W	36.5	345
3400	UBX5	69.7	500
3401	ARL3	19.3	198
3402	OPI6	1.71	108
3403	YHR182C-A	0.095	157
3404	HFM1	1.55	1187
3405	MRPL32	39.6	183
3406	RPS3	2327	240
3407	GLO1	42.5	326
3408	COQ3	4.91	312
3409	PRT1	701	763
3410	LEU2	16.3	364
3411	FLC1	33.5	793
3412	YNL146C-A	0.087	64
3413	SRP1	156	542
3414	PRP22	30.4	1145
3415	DAL2	1.45	343
3416	HIP1	85.5	603
3417	PDR17	47.4	350
3418	ERG6	1001	383
3419	MRPL25	41.5	157
3420	TOA1	2.02	286
3421	CDC6	1.98	513
3422	YIL047C-A	0.117	122
3423	INA17	6.29	182
3424	STE50	14.4	346
3425	MRPL20	18.6	195
3426	RAX1	1.93	435
3427	NNF2	11.6	936
3428	LRG1	6.3	1017
3429	SSA1	5396	642
3430	GPX1	3.41	167
3431	BER1	64.2	274
3432	SLM5	7.87	492
3433	ZRT2	9.94	422
3434	SPC1	98.7	94
3435	PBS2	46.7	668
3436	RCY1	24	840
3437	CMS1	33	291
3438	YDR133C	1.26	111
3439	PRP46	48.1	451
3440	APE3	741	537
3441	YCR043C	56.6	127
3442	SUI2	442	304
3443	RGC1	9.16	1083
3444	PDR5	477	1511
3445	YKL023C-A	0.105	75
3446	CRD1	7.91	283
3447	RAD10	3.04	210
3448	YLL056C	32.5	298
3449	DBF2	44.3	572
3450	MED2	112	431
3451	PEX19	88.5	342
3452	PBA1	37.5	276
3453	RSA4	31.9	515
3454	TEF4	2602	412
3455	YFR010W-A	0.031	62
3456	SEC53	537	254
3457	YBR056W	59.3	501
3458	YLR352W	2.75	807
3459	SPO1	1.35	631
3460	YPL077C	1.62	240
3461	YOR019W	1.59	730
3462	TY3A-I	1.8	290
3463	SEC62	190	274
3464	MMS2	60	137
3465	VMA11	36.9	164
3466	UTP14	63.5	899
3467	CEP3	23.5	608
3468	CSC1	1.4	782
3469	RPN13	128	156
3470	TOF1	10.5	1238
3471	YLR159W	0.184	114
3472	GAL3	6.98	520
3473	CBS1	5.2	229
3474	YER084W	10.6	128
3475	YDL114W	3.5	308
3476	YNL208W	19.2	199
3477	DPS1	637	557
3478	AYR1	51.2	297
3479	YLR287C	114	355
3480	AFG3	50.8	761
3481	ARG8	220	423
3482	PNC1	159	216
3483	MEF1	92.3	761
3484	SNO4	3.07	237
3485	PRE4	253	266
3486	RPB7	107	171
3487	HST4	4.61	370
3488	COX4	203	155
3489	ECM7	1.44	448
3490	ACF4	20.4	309
3491	YDR381C-A	17	114
3492	FMP45	7.92	309
3493	BOP2	8.24	570
3494	GAS2	0.408	555
3495	RRP12	216	1228
3496	KAP123	906	1113
3497	CTK3	29.8	296
3498	RSM25	57.5	264
3499	FUS2	11.7	677
3500	MNL1	4.95	796
3501	DAP1	57.2	152
3502	SRY1	4.84	326
3503	PAC10	142	199
3504	CDC3	441	520
3505	DIE2	1.99	525
3506	IRC11	1.48	156
3507	TUM1	64.1	304
3508	NRD1	195	575
3509	IME1	1.54	360
3510	ROM1	1.72	1155
3511	YMR087W	1.75	284
3512	AI2	0.01	854
3513	LSO1	0.178	93
3514	BIO2	14.1	375
3515	VPS70	719	811
3516	LRE1	3.22	583
3517	SUA7	102	345
3518	YDR271C	1.66	123
3519	RPL27B	1447	136
3520	IMD1	39.6	403
3521	HHF2	5290	103
3522	MSB4	14.1	492
3523	RPL12B	1411	165
3524	YTP1	0.008	459
3525	HCH1	202	153
3526	TKL1	1468	680
3527	DID4	14.6	232
3528	YHR139C-A	1.63	103
3529	MPP10	33.6	593
3530	BIR1	2.05	954
3531	TAT2	40.9	592
3532	TFA2	22.8	328
3533	YJL127W-A	1.54	38
3534	PSP1	14.9	841
3535	KSH1	0.978	72
3536	CLB5	3.88	435
3537	TOS8	1.55	276
3538	EMW1	168	904
3539	HUR1	1.52	110
3540	CDC12	105	407
3541	BRE1	69.8	700
3542	GAT1	20.4	510
3543	MND1	1.71	219
3544	YFL031C-A	0.941	33
3545	ARO8	647	500
3546	DIP2	149	943
3547	FOL1	52	824
3548	RPL33A	334	107
3549	TPS1	263	495
3550	YHL005C	1.56	130
3551	YLR227W-A	17.3	440
3552	YHL009W-A	0.084	413
3553	DOA4	20.9	926
3554	DEP1	9.84	405
3555	CLU1	520	1277
3556	YBL081W	1.74	368
3557	EFB1	2155	206
3558	TEM1	13.2	245
3559	MET32	2.4	191
3560	CPS1	108	576
3561	YLR202C	1.61	108
3562	NHP10	33	203
3563	DRN1	27.6	507
3564	LSC1	332	329
3565	RTN1	1028	295
3566	LCD1	14.5	747
3567	TAF10	39.3	206
3568	SWT1	1.65	458
3569	YCL076W	1.45	247
3570	SMC4	13.3	1418
3571	RIB2	30.3	591
3572	MAK3	28.4	176
3573	YML096W	38.7	525
3574	GAL4	3.57	881
3575	MPH3	0.14	602
3576	SWD2	17.6	329
3577	ATG2	8.26	1592
3578	DPH6	62.2	685
3579	MED8	16.4	223
3580	PSO2	3.75	661
3581	YHR097C	10.7	366
3582	TRP4	73.9	380
3583	YLR232W	1.28	115
3584	AVT7	16	490
3585	NBP1	10.9	319
3586	SPT5	132	1063
3587	YDR248C	19.6	193
3588	YDR341C	354	607
3589	DCS1	134	350
3590	RAD51	89.4	400
3591	NCA3	1.95	337
3592	TUF1	530	437
3593	MGM101	59.9	269
3594	SAP155	64.1	1002
3595	RPT2	28.7	437
3596	YGL149W	1.59	101
3597	FMP23	16.5	175
3598	BIG1	25.9	335
3599	RRG7	11.9	242
3600	YDR182W-A	0.174	67
3601	ENO1	4967	437
3602	PSK2	20	1101
3603	YOR365C	1.35	703
3604	PYC2	436	1180
3605	BDH1	193	382
3606	RPL20B	574	172
3607	ARC15	156	154
3608	NAM2	28.1	894
3609	CHS7	22.1	316
3610	RPL13B	1924	199
3611	LHP1	70.6	275
3612	SBH2	45.1	88
3613	MAK21	211	1025
3614	YMR172C-A	1.4	127
3615	ALT2	32.3	507
3616	YDR340W	1.52	100
3617	UTP7	56	554
3618	RPS28B	582	67
3619	TSR2	133	205
3620	MPP6	18.8	186
3621	YNR029C	21.4	429
3622	SNT1	5.7	1226
3623	YEF3	10074	1044
3624	APL5	128	932
3625	MSR1	2.26	643
3626	KNS1	1.91	737
3627	YMR057C	1.45	123
3628	FIS1	46.4	155
3629	YNR063W	1.38	607
3630	PHB2	72.2	310
3631	YDL157C	16.3	118
3632	YOR379C	0.165	112
3633	QCR2	458	368
3634	YIL058W	1.22	94
3635	YER158C	6.33	573
3636	CUE4	29.1	117
3637	YOR161W-A	0.186	26
3638	CDC28	117	298
3639	OR26.14	1.54	107
3640	URA5	403	226
3641	SPE3	257	293
3642	PMT1	351	817
3643	BUD14	23.2	709
3644	OTU1	25	301
3645	CRN1	136	651
3646	MTC4	7.9	694
3647	YIL092W	4.17	633
3648	NNK1	2.38	928
3649	YBL062W	1.49	126
3650	SMF3	13.6	473
3651	SAM50	14	484
3652	CSH1	15.1	376
3653	MRPL31	51.6	131
3654	ESBP6	7.65	673
3655	TPO2	19.2	614
3656	CYK3	5.07	885
3657	SNM1	3.94	198
3658	RPL41A	765	25
3659	ECM13	0.091	257
3660	IES1	26	692
3661	GSF2	194	403
3662	NPA3	153	385
3663	RRT16	1.3	142
3664	VHR1	6.43	640
3665	SHR3	94.2	210
3666	DPB11	28	764
3667	NEL1	3.19	630
3668	HSC82	4137	705
3669	SOH1	17.6	127
3670	ABD1	30.4	436
3671	CCM1	44.1	864
3672	YOR381W-A	2.09	55
3673	VHS3	3.73	674
3674	PIR1	33.8	341
3675	YFL040W	1.35	540
3676	AOS1	65.2	347
3677	COS6	16.1	381
3678	NSE3	19.2	303
3679	ANT1	31.5	328
3680	RQC1	28.4	723
3681	YKL131W	1.46	173
3682	NUP49	79.4	472
3683	NIT2	2.83	307
3684	YGR038C-A	14.7	440
3685	ARG1	1066	420
3686	STB5	4.82	743
3687	RFA1	113	621
3688	EPL1	10.6	832
3689	MAY24	1.79	140
3690	YOL037C	1.3	117
3691	CUZ1	50	274
3692	SLM1	62.2	686
3693	HUA1	7.6	198
3694	PRB1	81.8	635
3695	RSM24	44	319
3696	MSO1	12.5	210
3697	MET14	94.4	202
3698	YDR098C-A	15.1	440
3699	YMR086C-A	1.21	112
3700	YOR203W	0.031	117
3701	YLR036C	8.76	203
3702	YNL190W	24.9	204
3703	OMA1	2.26	345
3704	YGR164W	1.31	111
3705	CAJ1	78	391
3706	MSS116	179	664
3707	MOB2	27.4	287
3708	YPL067C	32.1	198
3709	YPL199C	53.1	240
3710	EMI1	4.82	187
3711	RPL43B	639	92
3712	MRPL15	98.9	253
3713	YPK3	30.4	525
3714	CBK1	8.99	756
3715	PUS9	7.67	462
3716	YCR047W-A	0.297	68
3717	NOP10	145	58
3718	BBC1	83.3	1157
3719	ARR3	1.77	404
3720	YEN1	2.5	759
3721	SEH1	13.7	349
3722	YER156C	138	338
3723	RIF2	6.33	395
3724	YLR030W	0.087	263
3725	YHL044W	1.6	235
3726	FAA4	535	694
3727	ATF2	26	535
3728	MRPL13	81.6	264
3729	AME1	14.9	324
3730	YNL035C	44.2	389
3731	MAK5	63.3	773
3732	ATG27	129	271
3733	SIP5	15.8	489
3734	YBR027C	1.63	110
3735	MSH6	46.4	1242
3736	MSC1	63.6	513
3737	SPT20	32.9	604
3738	FAT1	123	669
3739	YNR077C	1.39	84
3740	YJL015C	1.61	94
3741	YMR052C-A	1.2	121
3742	SPO24	1.07	67
3743	OSH6	56.8	448
3744	ASP1	41.5	381
3745	YDR215C	1.37	137
3746	OR26.05	1.39	119
3747	NUT1	37.3	1132
3748	STE6	20.1	1290
3749	YNR025C	2.65	119
3750	EFM3	12.2	339
3751	INO2	6.22	304
3752	SMC6	4.79	1114
3753	PLB3	7.48	686
3754	CSN9	7.34	162
3755	SPO19	5.67	223
3756	NMA2	23.6	395
3757	YGR018C	1.63	109
3758	YPL229W	9.42	206
3759	IZH3	0.516	543
3760	TRE1	4.4	783
3761	VHS1	17	461
3762	MTC1	92.3	478
3763	YNL170W	1.81	131
3764	BET3	33.5	193
3765	UTR5	1.42	166
3766	GAL10	2.15	699
3767	RPL33B	775	107
3768	O5073	1.42	109
3769	YBR012W-A	14.4	440
3770	FMP52	49	231
3771	XBP1	6.3	647
3772	BLS1	11.2	122
3773	PUS1	126	544
3774	YNR071C	1.67	342
3775	ANP1	12.8	500
3776	YCR1W	1.31	104
3777	FMP10	25.2	244
3778	TOA2	36.2	122
3779	SSB2	4273	613
3780	SLF1	22	447
3781	SHE1	3.77	338
3782	HSM3	20.6	480
3783	RFC1	81	861
3784	PXA1	2.73	870
3785	ECM16	53	1267
3786	BOL2	76.6	120
3787	PEX15	8.19	383
3788	NDT80	0.203	627
3789	RPL23A	1405	137
3790	YLR169W	1.46	117
3791	MBP1	6.58	833
3792	SIL1	28.9	421
3793	ECM1	62.7	212
3794	MSN5	45.2	1224
3795	ARP8	28.4	881
3796	KAR3	26.5	729
3797	RPS28A	976	67
3798	CET1	55.1	549
3799	PKC1	30.8	1151
3800	PHO23	28.9	330
3801	FAR8	63.2	523
3802	MRX14	16.1	105
3803	CDC11	107	415
3804	YPL136W	1.42	122
3805	VPS16	23	798
3806	SPA2	20.5	1466
3807	PYC1	239	1178
3808	SYS1	5.54	203
3809	EGO2	0.569	75
3810	YSP2	3.65	1438
3811	RPL7A	4341	244
3812	PAI3	10.1	68
3813	KAR4	30.1	335
3814	RPN9	234	393
3815	SNO2	4.95	222
3816	PGU1	0.282	361
3817	SRP101	55.2	621
3818	PSA1	3349	361
3819	OCA2	36.5	197
3820	LCB1	232	558
3821	PFD1	32.6	109
3822	LHS1	42.8	881
3823	FMP48	4.43	369
3824	RFX1	4.74	811
3825	YPL038W-A	0.088	63
3826	YMR051C	14.9	440
3827	UGA2	8.39	497
3828	SKP2	13	763
3829	ERG2	146	222
3830	SRL2	12.5	392
3831	PDH1	52.8	516
3832	YIR014W	1.94	242
3833	YNL115C	6.71	644
3834	PTC4	6.63	393
3835	POR1	2529	283
3836	OAR1	17.7	278
3837	SPT14	14	452
3838	TDA2	13.4	126
3839	VHR2	14	505
3840	FBA1	20543	359
3841	PSY4	19.6	441
3842	RRT13	1.46	185
3843	OXA1	84.4	402
3844	SBE22	6.6	852
3845	YMR306C-A	1.67	129
3846	DIM1	28.3	318
3847	VTS1	38.6	523
3848	YEL075W-A	0.064	203
3849	DFG5	42.6	458
3850	DLD3	657	496
3851	NSL1	32.8	216
3852	YPR1	372	312
3853	VPS65	1.51	104
3854	YMC2	9.99	329
3855	AIM32	1.45	311
3856	YPR158C-C	16.3	440
3857	ARR2	0.023	130
3858	AIM33	1.39	312
3859	MPC54	1.65	464
3860	YIL171W-A	1.54	150
3861	OPY1	15.9	328
3862	SWI5	6.56	709
3863	YML034C-A	0.157	132
3864	YDR246W-A	0.167	66
3865	DCS2	1034	353
3866	TAH1	21.3	111
3867	SED1	221	338
3868	YML116W-A	0.106	100
3869	YCR085W	1.79	117
3870	SCS7	52.1	384
3871	RRT14	36.9	206
3872	PCL6	19.3	420
3873	RPP2A	3326	106
3874	ILV3	1944	585
3875	PCI8	5.38	444
3876	SMC5	19.3	1093
3877	SLU7	19.9	382
3878	YGR168C	1.31	376
3879	IMA3	2.84	589
3880	HEM3	96.6	327
3881	VAS1	808	1104
3882	CAB3	43	571
3883	LDB17	7.53	491
3884	GLY1	1736	387
3885	YPR089W	40	888
3886	DAT1	42.2	248
3887	SSD1	70.9	1250
3888	SPC98	2.96	846
3889	RSM19	4.36	91
3890	UBC8	21.5	218
3891	CPR1	2500	162
3892	YOR169C	0.078	154
3893	YBR242W	27.2	238
3894	SPT10	12.6	640
3895	HSV2	2.94	448
3896	YPI1	9.6	155
3897	ARC19	93.6	171
3898	GDB1	13.5	1536
3899	RMD6	1.59	231
3900	CHZ1	26.6	153
3901	HIS7	319	552
3902	POP8	36.5	133
3903	TRR2	31.6	342
3904	PHO90	34.4	881
3905	RLM1	8.72	676
3906	NMA111	88.2	997
3907	EMC3	11.4	253
3908	MBF1	988	151
3909	TOP2	71.7	1428
3910	AIM9	145	627
3911	VPS38	9.16	439
3912	GLO2	167	274
3913	RNQ1	60.4	405
3914	YGL041W-A	6.98	154
3915	GDT1	30.8	280
3916	MRPL37	26.8	105
3917	GTR2	30.6	341
3918	RIM21	1.39	533
3919	WSS1	2.03	269
3920	YDL071C	0.23	124
3921	ARE2	20.3	642
3922	MCP1	2.5	302
3923	ORM2	68.7	216
3924	PSR2	1.62	397
3925	YER181C	1.38	107
3926	AQY2	0.433	149
3927	YKL077W	107	392
3928	ART5	19.5	586
3929	SPS1	1.87	490
3930	LOT5	49.2	306
3931	SUR2	420	349
3932	VHT1	22.5	593
3933	PET20	1.57	253
3934	MGR3	79.3	501
3935	YTH1	36.9	208
3936	SEC9	7	651
3937	AHC1	2.87	566
3938	DCV1	1.48	202
3939	YAL066W	1.5	102
3940	HLR1	5.76	423
3941	YIM2	1.28	145
3942	ECM15	29.5	104
3943	SEN1	19.6	2231
3944	HCS1	10.2	683
3945	YFL066C	1.72	392
3946	YGL034C	1.49	121
3947	FMS1	49.7	508
3948	SAP185	97	1058
3949	AIM34	21.8	198
3950	GEX1	1.37	615
3951	SEN54	5.8	467
3952	EGH1	9.62	764
3953	DAD3	10.6	94
3954	YNL034W	1.4	612
3955	POP4	5.94	279
3956	KHA1	3.15	873
3957	UFO1	5.97	668
3958	YAL063C-A	0.081	96
3959	SCD5	17.4	872
3960	PXP2	39.5	283
3961	RPB4	109	221
3962	FHN1	1.53	174
3963	PHO5	117	467
3964	YHC1	17.4	231
3965	UBC1	101	215
3966	LOA1	50.9	300
3967	RPS14A	1024	137
3968	YGR161C-D	15.2	1755
3969	ERB1	151	807
3970	MIA40	113	403
3971	YDR426C	2.28	125
3972	CYC7	26.1	113
3973	FUN12	383	1002
3974	PIN3	37.5	215
3975	PTR2	23.3	601
3976	KSS1	64.9	368
3977	HBS1	48.2	611
3978	ORC1	34.2	914
3979	RGI1	122	161
3980	ARP1	13.1	384
3981	RPB2	301	1224
3982	YLR154W-B	0.956	54
3983	YOL159C-A	3.1	90
3984	TRR1	2570	319
3985	JAC1	23.3	184
3986	SEC66	222	206
3987	ARD1	237	238
3988	YKL153W	1.42	169
3989	YGL063C-A	0.392	49
3990	YPR136C	1.8	170
3991	ORC6	23.6	435
3992	YNR066C	4.74	436
3993	YDR220C	1.26	97
3994	YHR212C	9.11	111
3995	BUL1	8.53	976
3996	YMR153C-A	1.38	111
3997	YIR020W-A	0.139	80
3998	YBR284W	1.44	797
3999	YBL111C	13.4	667
4000	NAT1	205	854
4001	SEC14	892	304
4002	LEU1	1788	779
4003	PIB2	12.9	635
4004	UPC2	7.28	913
4005	TRM13	24.7	476
4006	YHR173C	2.4	112
4007	SCC4	11.3	624
4008	YAL042C-A	1.33	125
4009	MRPL24	74.7	258
4010	RPL37B	432	88
4011	ATO3	16.3	275
4012	MYO1	27.2	1928
4013	NOP2	332	618
4014	VID24	83.1	362
4015	KAP120	58.7	1032
4016	ARO7	290	256
4017	ECM33	262	429
4018	BUD17	55.8	317
4019	RCR1	4.15	213
4020	RAD30	13	632
4021	COG2	40.8	262
4022	SNU13	296	126
4023	STS1	16.8	319
4024	OXP1	64	1286
4025	EFM1	59.9	585
4026	REC8	0.266	680
4027	IMA5	1.59	581
4028	ICY1	30.6	127
4029	MDM30	1.15	598
4030	VPS62	5.82	467
4031	SHM1	344	490
4032	FCY21	3.5	528
4033	NPP1	26.5	742
4034	MAG1	5.23	296
4035	RPL6A	1021	176
4036	YDR209C	1.73	137
4037	SIN4	35.2	974
4038	NUP133	61.7	1157
4039	PHO88	767	188
4040	ERG9	208	444
4041	YAL067W-A	0.06	75
4042	HOM3	576	527
4043	YNL043C	1.25	106
4044	HO	1.89	586
4045	RSC3	54	885
4046	YDR445C	1.47	135
4047	RGT2	1.56	763
4048	RIC1	3.93	1056
4049	AMN1	18.9	549
4050	ALA1	1164	958
4051	MSP1	34.7	362
4052	CTF8	1.65	133
4053	DUR1,2	108	1835
4054	RER2	102	286
4055	KXD1	13.5	218
4056	YPL264C	1.63	353
4057	YMR090W	65.6	227
4058	YER134C	135	178
4059	YPQ2	61	317
4060	NEO1	17.7	1151
4061	YJR079W	7.47	109
4062	DSF2	8.99	736
4063	SLX4	3.79	748
4064	ATG40	25.2	256
4065	SET5	59.9	526
4066	YHR020W	460	688
4067	LIN1	7.41	340
4068	GLO4	2.5	285
4069	ATP23	25.5	270
4070	SUN4	180	420
4071	CTP1	19.7	299
4072	YNR062C	3.08	327
4073	GUA1	695	525
4074	YER137C	2.9	148
4075	CAT8	2.01	1433
4076	YPR011C	3.36	326
4077	PEX13	57.6	386
4078	DSE3	15.7	430
4079	SOR2	1.52	357
4080	MRPL49	27.2	161
4081	THI73	1.41	523
4082	YKL036C	1.59	130
4083	CTR9	150	1077
4084	ITC1	28.1	1264
4085	GNT1	19.4	491
4086	SLA2	371	968
4087	SWP82	29.6	623
4088	BDF2	33.9	638
4089	DSE4	4.06	1117
4090	THR4	1180	514
4091	ERG20	343	352
